year,period,HR_IND
2020,1,741.5397191
2020,2,740.9476347
2020,3,704.4743122
2020,4,752.5678995
2020,5,670.1198462
2020,6,640.2869071
2020,7,619.1466752
2020,8,804.3529071
2020,9,723.3794079
2020,10,786.1286194
2020,11,778.2768857
2020,12,787.5684439
2020,13,794.7152469
2020,14,781.056061
2020,15,760.5956637
2020,16,695.5276119
2020,17,735.7078156
2020,18,735.334669
2020,19,738.6632467
2020,20,751.3335328
2020,21,745.9012189
2020,22,700.4726342
2020,23,772.6057941
2020,24,772.3553365
2020,25,851.7173119
2020,26,844.837199
2020,27,809.8401964
2020,28,860.2656145
2020,29,760.8752471
2020,30,732.2088771
2020,31,693.5433916
2020,32,889.9199652
2020,33,816.488595
2020,34,861.5850422
2020,35,857.9141339
2020,36,869.1311938
2020,37,873.119359
2020,38,854.6224088
2020,39,834.9923368
2020,40,781.6944
2020,41,818.9476614
2020,42,820.2687462
2020,43,821.7113902
2020,44,833.359649
2020,45,831.4831171
2020,46,787.8014129
2020,47,854.6470953
2020,48,854.2104241
2020,49,795.3864039
2020,50,789.4255123
2020,51,696.5818207
2020,52,801.9786901
2020,53,728.934952
2020,54,648.2210364
2020,55,647.2184697
2020,56,835.8836851
2020,57,827.8749701
2020,58,807.2169816
2020,59,799.8536856
2020,60,816.251051
2020,61,823.4846546
2020,62,811.8381446
2020,63,788.2778505
2020,64,729.2748431
2020,65,767.9434774
2020,66,769.1049933
2020,67,777.3153412
2020,68,779.3585308
2020,69,772.5860595
2020,70,784.1197907
2020,71,739.3304815
2020,72,788.9842907
2020,73,722.6572175
2020,74,721.0157292
2020,75,677.7747365
2020,76,730.11465
2020,77,655.9552494
2020,78,644.4126023
2020,79,616.3212839
2020,80,761.4625425
2020,81,685.5619542
2020,82,754.9366467
2020,83,735.7345596
2020,84,754.3230155
2020,85,752.8040361
2020,86,745.9648946
2020,87,706.068988
2020,88,658.630923
2020,89,698.8732694
2020,90,690.7082522
2020,91,693.3882912
2020,92,704.4550031
2020,93,700.2612597
2020,94,648.8800354
2020,95,716.1388142
2020,96,716.6826551
2020,97,971.772102
2020,98,849.8271502
2020,99,794.8522002
2020,100,854.9457509
2020,101,778.2674654
2020,102,697.4351275
2020,103,704.9837952
2020,104,830.9477213
2020,105,917.5817164
2020,106,932.5770015
2020,107,923.7658206
2020,108,923.7357023
2020,109,737.4137758
2020,110,896.7805038
2020,111,878.5526474
2020,112,885.4896912
2020,113,899.6620778
2020,114,905.4030661
2020,115,914.2793758
2020,116,918.8015511
2020,117,906.2135389
2020,118,912.9489596
2020,119,861.0239542
2020,120,918.9864781
2020,121,861.3641348
2020,122,1078.561767
2020,123,1061.952518
2020,124,816.4124705
2020,125,1071.401053
2020,126,1033.224244
2020,127,1061.381113
2020,128,1078.58783
2020,129,1038.09104
2020,130,1057.108379
2020,131,1003.112188
2020,132,1003.278518
2020,133,989.252055
2020,134,1044.620886
2020,135,1032.721656
2020,136,1049.103201
2020,137,1051.517697
2020,138,1059.05937
2020,139,809.5138694
2020,140,1061.826427
2020,141,840.7449824
2020,142,1050.106193
2020,143,1034.411288
2020,144,1068.849729
2020,145,899.1544935
2020,146,1114.401567
2020,147,1099.327343
2020,148,854.254589
2020,149,1113.047008
2020,150,1122.777519
2020,151,1040.176092
2020,152,1099.431708
2020,153,1052.367019
2020,154,1055.388895
2020,155,1050.124659
2020,156,1071.639832
2020,157,1057.224437
2020,158,1090.795451
2020,159,1097.249906
2020,160,1121.719022
2020,161,1127.319563
2020,162,1138.060931
2020,163,899.3008072
2020,164,1152.176873
2020,165,932.9949987
2020,166,1147.710702
2020,167,1138.945079
2020,168,1178.710603
2020,169,766.9973264
2020,170,1002.713085
2020,171,995.5984537
2020,172,758.2899986
2020,173,917.2329864
2020,174,836.1015819
2020,175,851.0745166
2020,176,1052.612442
2020,177,1039.100465
2020,178,1036.18461
2020,179,981.2835847
2020,180,983.7516368
2020,181,989.0268528
2020,182,1022.09337
2020,183,1004.728385
2020,184,981.8099264
2020,185,988.1848424
2020,186,990.0455372
2020,187,761.477194
2020,188,993.3376933
2020,189,773.641134
2020,190,1008.9967
2020,191,1005.564884
2020,192,1006.990337
2020,193,888.973684
2020,194,1117.356107
2020,195,1112.362938
2020,196,876.4856914
2020,197,1018.423455
2020,198,989.4218522
2020,199,880.5577258
2020,200,1141.502065
2020,201,1130.790382
2020,202,1091.235684
2020,203,1088.896112
2020,204,1098.30792
2020,205,1096.747767
2020,206,1098.20418
2020,207,1097.879807
2020,208,1089.95219
2020,209,1093.618882
2020,210,1096.294412
2020,211,865.3712734
2020,212,1089.589162
2020,213,871.1373799
2020,214,1107.946632
2020,215,1100.003787
2020,216,1101.60333
2020,217,958.7501944
2020,218,1034.447771
2020,219,1028.729322
2020,220,1033.406929
2020,221,953.4171296
2020,222,927.7679961
2020,223,858.8233125
2020,224,871.2637437
2020,225,1048.756325
2020,226,1021.533041
2020,227,1016.754462
2020,228,1031.511993
2020,229,1027.01217
2020,230,956.1941908
2020,231,980.435542
2020,232,956.5473202
2020,233,946.4814357
2020,234,927.7422377
2020,235,903.942778
2020,236,891.6101289
2020,237,878.5827762
2020,238,874.9792846
2020,239,852.8273595
2020,240,860.057883
2020,241,766.8602957
2020,242,766.1139903
2020,243,722.3000893
2020,244,773.9541298
2020,245,688.1811446
2020,246,621.1917555
2020,247,635.6332816
2020,248,800.2574962
2020,249,781.5971325
2020,250,784.8835618
2020,251,717.1834122
2020,252,731.2169357
2020,253,734.8193721
2020,254,775.6816423
2020,255,736.9426132
2020,256,688.3703116
2020,257,730.8446006
2020,258,724.9933363
2020,259,728.2490117
2020,260,741.4657643
2020,261,740.757178
2020,262,749.8654605
2020,263,756.1942039
2020,264,757.4201888
2020,265,1032.130463
2020,266,911.3483068
2020,267,912.9743983
2020,268,916.8781249
2020,269,827.9993746
2020,270,796.8598191
2020,271,739.4833615
2020,272,888.412424
2020,273,911.6134737
2020,274,989.1247636
2020,275,980.8661537
2020,276,979.2394295
2020,277,792.4108938
2020,278,953.3119294
2020,279,936.5230001
2020,280,942.0123771
2020,281,951.8887619
2020,282,957.8270777
2020,283,967.5607482
2020,284,976.9092168
2020,285,969.8415443
2020,286,922.0622988
2020,287,979.6621415
2020,288,987.5455206
2020,289,937.8203882
2020,290,1153.108802
2020,291,1136.117709
2020,292,890.9595047
2020,293,1146.711775
2020,294,1108.91681
2020,295,1134.613566
2020,296,1153.729502
2020,297,1107.505055
2020,298,1128.431613
2020,299,1073.289891
2020,300,1075.747284
2020,301,1061.213672
2020,302,1117.728034
2020,303,1104.683273
2020,304,1123.35588
2020,305,1125.770377
2020,306,1134.839425
2020,307,883.766549
2020,308,1139.684751
2020,309,917.8396184
2020,310,1125.673454
2020,311,1108.833018
2020,312,1146.708053
2020,313,983.2378341
2020,314,1196.399206
2020,315,1180.907842
2020,316,936.252228
2020,317,1195.878928
2020,318,1206.026579
2020,319,1120.717964
2020,320,1182.059281
2020,321,1128.737488
2020,322,1133.845066
2020,323,1127.329408
2020,324,1151.347423
2020,325,1135.680607
2020,326,1170.503042
2020,327,1175.706076
2020,328,1202.678034
2020,329,1208.278575
2020,330,1220.688504
2020,331,980.2598194
2020,332,1237.307288
2020,333,1017.291133
2020,334,1230.338276
2020,335,1220.321231
2020,336,1263.841019
2020,337,775.4839827
2020,338,1010.304558
2020,339,1004.022975
2020,340,768.1808119
2020,341,928.3317966
2020,342,897.44434
2020,343,861.4418567
2020,344,1061.162913
2020,345,988.5423884
2020,346,1050.579547
2020,347,1044.602172
2020,348,1052.61837
2020,349,1053.245104
2020,350,1038.302724
2020,351,1020.301142
2020,352,998.5169195
2020,353,1003.440312
2020,354,1004.027813
2020,355,775.451458
2020,356,1006.675409
2020,357,783.2335532
2020,358,959.2962552
2020,359,1016.89853
2020,360,1017.537783
2020,361,893.4771837
2020,362,1122.904914
2020,363,1117.341092
2020,364,882.5879354
2020,365,1021.609036
2020,366,940.1544133
2020,367,934.0906489
2020,368,1151.098178
2020,369,1144.745209
2020,370,1124.155242
2020,371,1073.860631
2020,372,1078.690447
2020,373,1081.519897
2020,374,1109.812465
2020,375,1093.426784
2020,376,1082.278441
2020,377,1085.949882
2020,378,1089.802766
2020,379,858.9335745
2020,380,1090.144493
2020,381,873.9292264
2020,382,1111.374324
2020,383,1102.684826
2020,384,1103.894269
2020,385,960.3589006
2020,386,1036.567518
2020,387,1031.220336
2020,388,1036.846305
2020,389,952.4859863
2020,390,874.0023641
2020,391,852.3171451
2020,392,869.3633778
2020,393,1045.118251
2020,394,1017.7921
2020,395,963.1775195
2020,396,972.5762836
2020,397,971.7110151
2020,398,1006.227383
2020,399,974.9330006
2020,400,948.3708518
2020,401,938.2065462
2020,402,935.5894502
2020,403,935.6251233
2020,404,927.2198248
2020,405,918.5121856
2020,406,916.1217978
2020,407,891.0232661
2020,408,867.4243499
2020,409,770.2295059
2020,410,769.4832004
2020,411,725.6864893
2020,412,777.3920994
2020,413,690.9315202
2020,414,623.5983342
2020,415,637.5241649
2020,416,803.3860485
2020,417,784.588166
2020,418,787.7714562
2020,419,720.0713066
2020,420,734.1563997
2020,421,737.776026
2020,422,778.6039164
2020,423,739.899267
2020,424,691.3269654
2020,425,733.852824
2020,426,728.0703191
2020,427,731.3775641
2020,428,744.6802659
2020,429,743.9544897
2020,430,753.1418455
2020,431,759.4774648
2020,432,760.6965738
2020,433,1033.432264
2020,434,913.5452916
2020,435,914.3795907
2020,436,916.9407922
2020,437,825.2038197
2020,438,742.9952035
2020,439,734.5053181
2020,440,887.3704783
2020,441,969.562825
2020,442,982.2991561
2020,443,925.3296895
2020,444,918.4913808
2020,445,736.778171
2020,446,945.6055922
2020,447,929.5357722
2020,448,933.8909126
2020,449,945.3425879
2020,450,952.7191203
2020,451,962.5845692
2020,452,972.775864
2020,453,969.4122327
2020,454,981.1156272
2020,455,977.6978809
2020,456,986.3509577
2020,457,943.2207508
2020,458,1158.372791
2020,459,1141.354424
2020,460,896.2234945
2020,461,1152.030314
2020,462,1114.262623
2020,463,1139.768458
2020,464,1159.020767
2020,465,1112.387201
2020,466,1133.450132
2020,467,1078.226586
2020,468,1080.847626
2020,469,1066.23219
2020,470,1122.828377
2020,471,1109.701791
2020,472,1128.538046
2020,473,1130.952543
2020,474,1140.130689
2020,475,888.9487152
2020,476,1145.139662
2020,477,923.239981
2020,478,1130.964719
2020,479,1114.042458
2020,480,1152.162964
2020,481,989.1373898
2020,482,1202.149783
2020,483,1186.628623
2020,484,942.0028051
2020,485,1201.689096
2020,486,1211.866543
2020,487,1126.349358
2020,488,1187.839654
2020,489,1134.070925
2020,490,1139.327481
2020,491,1132.084054
2020,492,1156.280843
2020,493,1140.099051
2020,494,1175.010874
2020,495,1180.124521
2020,496,1207.275253
2020,497,1212.875794
2020,498,1225.404906
2020,499,985.9210093
